,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
129,Glenfiddich 12 Year Old,40,70,35.95
130,Edradour 10 Year Old,40,70,44.45
131,Aberlour 12 Year Old,40,70,40.95
132,Glentauchers 2007,58.7,50,74.95
133,Aberlour 12 Year Old,40,70,40.45
134,Highland Park 15 Year Old,44,70,79.95
135,Benromach 2009,46,70,39.95
136,Glendronach Port Wood,46,70,63.95
137,Caol Ila 13 Year Old,43,70,47.95
138,Benromach 15 Year Old,43,70,65.95
139,Ardbeg Corryvreckan,57.1,70,75.45
140,Highland Park 18 Year Old,43,70,115
141,Teaninich 10 Year Old,43,70,43.95
142,Glenmorangie Signet,46,70,165
143,Benrinnes 15 Year Old,43,70,53.75
144,Glen Scotia Double Cask,46,70,39.95
145,Glen Scotia Victoriana,54.2,70,72.95
146,Glen Scotia 1999,54.8,70,475
147,Glen Scotia 15 Year Old,46,70,64.95
148,Glen Scotia 18 Year Old,46,70,110
149,Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70,55.95
150,Glen Scotia 25 Year Old,48.8,70,495
151,Springbank 12 Year Old,46,75,750
152,Springbank CV,46,70,450
153,Macduff 1976,50,70,450
154,Springbank 1965,50.5,70,"10,000"
155,Springbank 12 Year Old,43,75,"1,500"
156,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
157,Glen Scotia Double Cask,46,20,20.95
158,Glen Scotia Double Cask,46,20,18.95
159,Springbank 15 Year Old,46,75,"1,800"
160,Springbank 8 Year Old,43,75,"1,500"
161,Glen Scotia 1991,57.8,70,399
162,Springbank 1962,46,70,"15,000"
163,Springbank 1975,43,70,"1,000"
164,Springbank 1967,43.4,70,"3,000"
165,Springbank 1967,43.1,75,"4,500"
166,Springbank 1965,43,70,"2,750"
167,Springbank 1966,47.1,70,"6,000"
168,Glen Scotia Double Cask,46,70,39.95
169,Glen Scotia Victoriana,54.2,70,72.95
170,Glen Scotia 1999,54.8,70,475
171,Glen Scotia 15 Year Old,46,70,64.95
172,Glen Scotia 18 Year Old,46,70,110
173,Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70,55.95
174,Glen Scotia 25 Year Old,48.8,70,495
175,Springbank 12 Year Old,46,75,750
176,Springbank CV,46,70,450
177,Macduff 1976,50,70,450
178,Springbank 1965,50.5,70,"10,000"
179,Springbank 12 Year Old,43,75,"1,500"
180,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
181,Glen Scotia Double Cask,46,20,20.95
182,Glen Scotia Double Cask,46,20,18.95
183,Springbank 15 Year Old,46,75,"1,800"
184,Springbank 8 Year Old,43,75,"1,500"
185,Glen Scotia 1991,57.8,70,399
186,Springbank 1962,46,70,"15,000"
187,Springbank 1975,43,70,"1,000"
188,Springbank 1967,43.4,70,"3,000"
189,Springbank 1967,43.1,75,"4,500"
190,Springbank 1965,43,70,"2,750"
191,Springbank 1966,47.1,70,"6,000"
192,Springbank 18 Year Old,46,70,"3,000"
193,SMWS 27.16 (Springbank),57.8,75,"3,250"
194,Springbank 1970,54.4,70,"4,500"
195,Springbank 1969,40.9,70,"3,000"
196,Springbank 1965,50.6,70,"5,000"
197,Springbank 10 Year Old,46,75,"2,000"
198,Springbank 1965,53.8,70,"5,000"
199,Springbank 20 Year Old,50,75,"2,000"
200,Springbank 12 Year Old,46,75,"2,250"
201,Springbank 1995,46,70,750
202,Springbank 1966,61.2,75,"15,000"
203,Springbank 10 Year Old,46,70,450
204,Glens Extra (Springbank) 8 Year Old,40,75,"1,500"
205,Springbank 1967,46,70,"3,000"
206,Springbank 1966,61.2,75,"15,000"
207,Longrow 1973,46,75,"3,000"
208,Campbeltown 1972,46,70,"2,000"
209,Longrow 14 Year Old,46,75,"4,000"
210,Springbank 1965,46,70,"5,500"
211,Springbank 1967,46,70,"3,000"
212,Springbank 1967,46,75,"3,000"
213,Springbank 25 Year Old,43,75,"1,400"
214,Springbank 1966,60.7,75,"15,000"
215,Springbank 1977,57,75,"5,500"
216,Longrow 1973,46,75,"5,000"
217,Springbank 1967,46,75,"7,500"
218,Springbank 50 Year Old,43,75,"42,000"
219,Springbank 1965,46,75,"6,500"
220,Springbank 1963,46,75,"7,500"
221,Springbank 15 Year Old,46,75,"2,000"
222,Springbank 15 Year Old,46,75,"2,250"
223,Springbank 15 Year Old,46,75,"1,800"
224,Springbank 12 Year Old,43,75,"1,500"
225,Springbank 1969,46,70,"3,000"
226,Springbank 1964,52.2,70,"6,500"
227,Springbank 1964,51.5,75,"5,500"
228,Longrow 1987,45,70,"4,500"
229,Longrow 1973,43.2,70,"4,500"
230,Longrow 1974,54.7,70,"3,500"
231,Glen Scotia 1969,50,70,"1,750"
232,Glen Scotia Double Cask,46,70,39.95
233,Glen Scotia Victoriana,54.2,70,72.95
234,Glen Scotia 1999,54.8,70,475
235,Glen Scotia 15 Year Old,46,70,64.95
236,Glen Scotia 18 Year Old,46,70,110
237,Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70,55.95
238,Glen Scotia 25 Year Old,48.8,70,495
239,Springbank 12 Year Old,46,75,750
240,Springbank CV,46,70,450
241,Macduff 1976,50,70,450
242,Springbank 1965,50.5,70,"10,000"
243,Springbank 12 Year Old,43,75,"1,500"
244,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
245,Glen Scotia Double Cask,46,20,20.95
246,Glen Scotia Double Cask,46,20,18.95
247,Springbank 15 Year Old,46,75,"1,800"
248,Springbank 8 Year Old,43,75,"1,500"
249,Glen Scotia 1991,57.8,70,399
250,Springbank 1962,46,70,"15,000"
251,Springbank 1975,43,70,"1,000"
252,Springbank 1967,43.4,70,"3,000"
253,Springbank 1967,43.1,75,"4,500"
254,Springbank 1965,43,70,"2,750"
255,Springbank 1966,47.1,70,"6,000"
256,Glen Scotia Double Cask,46,70,39.95
257,Glen Scotia Victoriana,54.2,70,72.95
258,Glen Scotia 1999,54.8,70,475
259,Glen Scotia 15 Year Old,46,70,64.95
260,Glen Scotia 18 Year Old,46,70,110
261,Glen Scotia 11 Year Old Sherry Double Cask Finish,54.1,70,55.95
262,Glen Scotia 25 Year Old,48.8,70,495
263,Springbank 12 Year Old,46,75,750
264,Springbank CV,46,70,450
265,Macduff 1976,50,70,450
266,Springbank 1965,50.5,70,"10,000"
267,Springbank 12 Year Old,43,75,"1,500"
268,Glen Scotia Tasting Set (Double Cask and 15 Year Old),46,40,43.95
269,Glen Scotia Double Cask,46,20,20.95
270,Glen Scotia Double Cask,46,20,18.95
271,Springbank 15 Year Old,46,75,"1,800"
272,Springbank 8 Year Old,43,75,"1,500"
273,Glen Scotia 1991,57.8,70,399
274,Springbank 1962,46,70,"15,000"
275,Springbank 1975,43,70,"1,000"
276,Springbank 1967,43.4,70,"3,000"
277,Springbank 1967,43.1,75,"4,500"
278,Springbank 1965,43,70,"2,750"
279,Springbank 1966,47.1,70,"6,000"
280,Deanston 18 Year Old,46.3,70,68.95
281,Personalised Highland Special Reserve Single Malt,48,70,59.95
282,Glendronach 15 Year Old Revival,46,70,69.95
283,Oban Bay Reserve,43,70,62.95
284,Clynelish Reserve,51.2,70,42.95
285,Loch Lomond The Open Special Edition 2022,46,70,42.95
286,Loch Lomond The Open Special Edition 2022,46,70,48.95
287,Nc'nean Organic Single Malt,46,70,46.95
288,Blair Athol 12 Year Old,43,70,48.95
289,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
290,Royal Lochnagar 12 Year Old,40,70,40.95
291,Ardnamurchan AD Single Malt,46.8,70,46.95
292,MacDonald's Traditional Ben Nevis,46,70,46.95
293,Dalmore 15 Year Old,40,70,83.95
294,Glenmorangie 10 Year Old Original,40,70,36.95
295,Oban 14 Year Old,43,70,76.95
296,Old Pulteney 15 Year Old,46,70,69.25
297,Aberfeldy 12 Year Old,40,70,39.95
298,Glengoyne Cask Strength,59.6,70,69.95
299,Oban 2006 Distillers Edition,43,70,78.95
300,Loch Lomond 12 Year Old,46,70,35.95
301,Inchmoan 12 Year Old,46,70,35.95
302,Dalmore Cigar Malt,44,70,95.95
303,Clynelish 14 Year Old,46,70,49.95
304,Deanston 18 Year Old,46.3,70,68.95
305,Personalised Highland Special Reserve Single Malt,48,70,59.95
306,Glendronach 15 Year Old Revival,46,70,69.95
307,Oban Bay Reserve,43,70,62.95
308,Clynelish Reserve,51.2,70,42.95
309,Loch Lomond The Open Special Edition 2022,46,70,42.95
310,Loch Lomond The Open Special Edition 2022,46,70,48.95
311,Nc'nean Organic Single Malt,46,70,46.95
312,Blair Athol 12 Year Old,43,70,48.95
313,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
314,Royal Lochnagar 12 Year Old,40,70,40.95
315,Ardnamurchan AD Single Malt,46.8,70,46.95
316,MacDonald's Traditional Ben Nevis,46,70,46.95
317,Dalmore 15 Year Old,40,70,83.95
318,Glenmorangie 10 Year Old Original,40,70,36.95
319,Oban 14 Year Old,43,70,76.95
320,Old Pulteney 15 Year Old,46,70,69.25
321,Aberfeldy 12 Year Old,40,70,39.95
322,Glengoyne Cask Strength,59.6,70,69.95
323,Oban 2006 Distillers Edition,43,70,78.95
324,Loch Lomond 12 Year Old,46,70,35.95
325,Inchmoan 12 Year Old,46,70,35.95
326,Dalmore Cigar Malt,44,70,95.95
327,Clynelish 14 Year Old,46,70,49.95
328,Dalmore 21 Year Old,43.8,70,575
329,Edradour 2011,59.1,50,68.95
330,Dalmore Port Wood Reserve,46.5,70,69.95
331,Glenmorangie Lasanta 12 Year Old,43,70,48.45
332,Oban 2008,56.2,70,105
333,Dalmore 12 Year Old,40,70,54.95
334,Edradour 12 Year Old,46,70,62.75
335,Old Pulteney 12 Year Old,40,70,32.45
336,Edradour 10 Year Old,40,70,44.45
337,Glendronach Port Wood,46,70,63.95
338,Teaninich 10 Year Old,43,70,43.95
339,Glenmorangie Signet,46,70,165
340,AnCnoc 12 Year Old,40,70,31.45
